subject,condition,list,order,prime_verb,prime_type,target,response
1,IDIOM,5,10,boot,DO,11_T,OTHER
1,IDIOM,5,6,brush-off,PO,12_T,OTHER
1,IDIOM,5,9,clean bill of health,PO,13_T,P
1,IDIOM,5,14,break,DO,15_T,P
1,IDIOM,5,12,taste of her own medicine,DO,16_T,OTHER
1,IDIOM,5,7,runaround,DO,19_T,OTHER
1,IDIOM,5,2,low-down,PO,20_T,D
1,IDIOM,5,8,go-ahead,PO,21_T,P
1,IDIOM,5,5,ax,PO,23_T,P
1,IDIOM,5,13,piece of her mind,PO,26_T,OTHER
1,IDIOM,5,4,fair shake,DO,3_T,P
1,IDIOM,5,1,due,DO,4_T,P
1,IDIOM,5,3,rise,PO,5_T,P
1,IDIOM,5,11,bum's rush,DO,6_T,P
2,LVC,5,3,answer,DO,11_T,P
2,LVC,5,9,aid,PO,12_T,P
2,LVC,5,5,reply,DO,13_T,D
2,LVC,5,1,beating,DO,15_T,D
2,LVC,5,6,compliment,DO,16_T,D
2,LVC,5,2,advice,DO,19_T,P
2,LVC,5,4,bow,PO,20_T,D
2,LVC,5,12,hug,PO,21_T,D
2,LVC,5,7,tip,PO,23_T,D
2,LVC,5,11,massage,PO,26_T,D
2,LVC,5,13,smile,DO,3_T,D
2,LVC,5,10,scolding,DO,4_T,D
2,LVC,5,8,encouragement,PO,5_T,D
2,LVC,5,14,command,PO,6_T,D
3,LVC,3,7,scolding,DO,11_T,D
3,LVC,3,4,smile,DO,12_T,D
3,LVC,3,10,tip,PO,13_T,D
3,LVC,3,9,command,PO,15_T,P
3,LVC,3,1,encouragement,PO,16_T,D
3,LVC,3,2,bow,PO,19_T,MISSING
3,LVC,3,11,beating,PO,20_T,D
3,LVC,3,6,answer,DO,21_T,P
3,LVC,3,8,massage,PO,23_T,P
3,LVC,3,5,reply,DO,26_T,D
3,LVC,3,3,compliment,DO,3_T,D
3,LVC,3,14,hug,PO,4_T,P
3,LVC,3,12,advice,DO,5_T,D
3,LVC,3,13,aid,DO,6_T,P
4,NLVC,8,8,ball,DO,11_T,P
4,NLVC,8,11,toy,PO,12_T,OTHER
4,NLVC,8,9,check,PO,13_T,P
4,NLVC,8,13,jumper cable,PO,15_T,P
4,NLVC,8,7,key,PO,16_T,D
4,NLVC,8,12,number,DO,19_T,P
4,NLVC,8,14,cigarette,DO,20_T,D
4,NLVC,8,4,bouquet,DO,21_T,P
4,NLVC,8,6,flower,DO,23_T,OTHER
