item,imageability,priming
advice_DO,5.25,0.6875
advice_PO,5.538461538,0.538461538
aid_DO,4.833333333,0.714285714
aid_PO,5.916666667,0.692307692
answer_DO,6.181818182,0.666666667
answer_PO,5.583333333,0.5
apple_DO,6.916666667,0.7
apple_PO,6.363636364,0.517241379
ax_PO,5.545454545,0.517241379
ball_DO,6.583333333,0.766666667
ball_PO,5.666666667,0.464285714
beating_DO,5.181818182,0.612903226
beating_PO,5.076923077,0.551724138
blank check_PO,4.545454545,0.615384615
boot_DO,5.090909091,0.72
bouquet_DO,6.181818182,0.678571429
bouquet_PO,6.076923077,0.428571429
bow_DO,4.909090909,0.766666667
bow_PO,5.416666667,0.481481481
break to_PO,4.727272727,0.517241379
break_DO,5.083333333,0.571428571
brush-off_PO,5.083333333,0.607142857
bum's rush_DO,3.090909091,0.64
check_DO,4.916666667,0.709677419
check_PO,5.25,0.551724138
cigarette_DO,6.25,0.678571429
cigarette_PO,6,0.571428571
clean bill of health_PO,4,0.666666667
command_DO,5.538461538,0.75
command_PO,5.818181818,0.580645161
compliment_DO,5.272727273,0.7
compliment_PO,5.25,0.580645161
contract_DO,4.454545455,0.793103448
contract_PO,4.454545455,0.482758621
due_DO,3.363636364,0.769230769
earful_DO,5,0.714285714
encouragement_DO,4.916666667,0.7
encouragement_PO,5.636363636,0.666666667
fair shake_DO,4.909090909,0.653846154
flower_DO,6.25,0.785714286
flower_PO,6.833333333,0.275862069
free rein_PO,3.769230769,0.518518519
go-ahead_PO,3.75,0.555555556
green light_PO,3.545454545,0.653846154
hand with the landscape_DO,5.272727273,0.75
hand_PO,6,0.548387097
hug_DO,5.846153846,0.653846154
hug_PO,6.363636364,0.620689655
jumper cable_DO,5.909090909,0.678571429
jumper cable_PO,5.5,0.517241379
key_DO,6.181818182,0.724137931
key_PO,5.916666667,0.6
low-down_PO,5.666666667,0.692307692
massage_DO,5.384615385,0.678571429
massage_PO,5.181818182,0.655172414
music_DO,6.083333333,0.586206897
music_PO,6.181818182,0.5
number_DO,4.583333333,0.533333333
number_PO,5.666666667,0.538461538
once-over_PO,4.727272727,0.384615385
piece of her mind_PO,4.818181818,0.466666667
piece of his mind_DO,4.666666667,0.8
reply_DO,4.454545455,0.666666667
reply_PO,5.5,0.576923077
rise_PO,3.333333333,0.451612903
run for his money_DO,4.727272727,0.576923077
runaround_DO,3.923076923,0.576923077
scolding_DO,6.181818182,0.576923077
scolding_PO,5.416666667,0.740740741
shirt off his back_DO,3.636363636,0.655172414
smile_DO,5.25,0.677419355
smile_PO,6.25,0.52
taste of her own medicine_DO,4.636363636,0.75
third degree_DO,4,0.807692308
tip_DO,4.909090909,0.703703704
tip_PO,3.909090909,0.548387097
towel_DO,6.363636364,0.740740741
towel_PO,6.666666667,0.4375
toy_DO,6,0.821428571
toy_PO,5.818181818,0.296296296
video tape_DO,4.916666667,0.678571429
video tape_PO,4.545454545,0.392857143
whirl_DO,3.230769231,0.538461538
word_PO,4.166666667,0.612903226
