participant,list,prime.target,prime.form,prime.condition,prime.item,target.item,target.condition,item,sentence,dispLay,target.form,verb.used,used.target.condition,targetformDO
1,1,target,DO,L,L_DO_1,L1.bmp   ,L,Teacher gives student a scoLding,L1.bmp   ,Teacher gives student a scoLding,DO,give,L,1
1,1,target,PO,L,L_PO_18,L18.bmp   ,L,Student gives an answer to the teacher,L18.bmp   ,Student gives an answer to the teacher,PO,give,L,0
1,1,target,DO,NL,NL_DO_3,L3.bmp   ,L,GirL gives boy a kiss,L3.bmp   ,GirL gives boy a kiss,DO,give,L,1
1,1,target,DO,NL,NL_DO_7,L7.bmp   ,L,Mother gives the baby comfort,L7.bmp   ,Mother gives the baby comfort,DO,give,L,1
1,1,target,PO,NL,NL_PO_8,L8.bmp   ,L,Ocean gives the artist inspiration,L8.bmp   ,Ocean gives the artist inspiration,DO,give,L,1
1,1,target,DO,L,L_DO_9,L9.bmp   ,L,queen gives a kiss to the king,L9.bmp   ,queen gives a kiss to the king,DO,give,L,1
1,1,target,DO,NL,NL_DO_15,L15.bmp   ,L,CriminaL gives a gLare to the judge,L15.bmp   ,CriminaL gives a gLare to the judge,DO,give,L,1
1,1,target,PO,NL,NL_PO_16,L16.bmp   ,L,Barber gives a haircut to his cLient,L16.bmp   ,Barber gives a haircut to his cLient,DO,give,L,1
1,1,target,DO,NL,NL_DO_19,L19.bmp   ,L,BuLLy gives a push to the chiLd,L19.bmp   ,BuLLy gives a push to the chiLd,DO,give,L,1
1,1,target,PO,NL,NL_PO_20,L20.bmp   ,L,GirL gives boy a kick,L20.bmp   ,GirL gives boy a kick,DO,give,L,1
1,1,target,DO,NL,NL_DO_14,NL14.bmp   ,NL,Boy gives teacher appLe,NL14.bmp   ,Boy gives teacher appLe,DO,give,NL,1
1,1,target,DO,NL,NL_DO_13,NL13.bmp   ,NL,Car deaLer giving keys to coupLe,NL13.bmp   ,Car deaLer giving keys to coupLe,DO,give,NL,1
1,1,target,DO,NL,NL_DO_11,L11.bmp   ,L,Man gives money to cop,L11.bmp   ,Man gives money to cop,DO,give,NL,1
1,1,target,DO,NL,NL_DO_10,NL10.bmp   ,NL,Nurse gives patient water,NL10.bmp   ,Nurse gives patient water,DO,give,NL,1
1,1,target,DO,NL,NL_DO_9,NL9.bmp   ,NL,Man giving dog a stick,NL9.bmp   ,Man giving dog a stick,DO,give,NL,1
1,1,target,DO,NL,NL_DO_6,NL6.bmp   ,NL,Cop gives driver ticket,NL6.bmp   ,Cop gives driver ticket,DO,give,NL,1
1,1,target,DO,NL,NL_DO_5,NL5.bmp   ,NL,Student gives teacher fLowers,NL5.bmp   ,Student gives teacher fLowers,DO,give,NL,1
1,1,target,PO,L,L_PO_4,NL4.bmp   ,NL,Waitress gives customer menu,NL4.bmp   ,Waitress gives customer menu,DO,give,NL,1
1,1,target,DO,NL,NL_DO_2,NL2.bmp   ,NL,waitress gives customer a gLass,NL2.bmp   ,waitress gives customer a gLass,DO,give,NL,1
1,1,target,DO,NL,NL_DO_1,NL1.bmp   ,NL,Cowboy gives cLown a hat,NL1.bmp   ,Cowboy gives cLown a hat,DO,give,NL,1
1,1,target,PO,NL,NL_PO_4,L4.bmp   ,L,Boy gives girL a hug,L4.bmp   ,Boy gives girL a hug,PO,give,L,0
1,1,target,DO,L,L_DO_5,L5.bmp   ,L,Boy gives girL a caLL,L5.bmp   ,Boy gives girL a caLL,PO,give,L,0
1,1,target,PO,L,L_PO_6,L6.bmp   ,L,GirL gives boy a punch,L6.bmp   ,GirL gives boy a punch,PO,give,L,0
1,1,target,PO,L,L_PO_10,L10.bmp   ,L,Jester gives king a bow,L10.bmp   ,Jester gives king a bow,PO,give,L,0
1,1,target,PO,NL,NL_PO_12,L12.bmp   ,L,Captain gives orders to soLdiers,L12.bmp   ,Captain gives orders to soLdiers,PO,give,L,0
1,1,target,DO,L,L_DO_13,L13.bmp   ,L,Man gives woman a compLiment,L13.bmp   ,Man gives woman a compLiment,PO,give,L,0
1,1,target,PO,L,L_PO_14,L14.bmp   ,L,Teacher gives a Lecture to students,L14.bmp   ,Teacher gives a Lecture to students,PO,give,L,0
1,1,target,DO,L,L_DO_17,L17.bmp   ,L,Nurse gives aid to the patient,L17.bmp   ,Nurse gives aid to the patient,PO,give,L,0
1,1,target,PO,L,L_PO_2,L2.bmp   ,L,Boy gives the girL a stare,L2.bmp   ,Boy gives the girL a stare,PO,give,L,0
1,1,target,PO,L,L_PO_20,NL20.bmp   ,NL,boy gives K to girL,NL20.bmp   ,boy gives K to girL,PO,give,NL,0
1,1,target,PO,L,L_PO_19,NL19.bmp   ,NL,girL giving boy a Letter,NL19.bmp   ,girL giving boy a Letter,PO,give,NL,0
1,1,target,DO,NL,NL_DO_18,NL18.bmp   ,NL,boy giving book to girL,NL18.bmp   ,boy giving book to girL,PO,give,NL,0
1,1,target,PO,L,L_PO_11,NL11.bmp   ,NL,Farmer pays money to pLumber,NL11.bmp   ,Farmer pays money to pLumber,PO,give,NL,0
1,1,target,PO,L,L_PO_16,NL16.bmp   ,NL,Boy gives vaLentine to woman,NL16.bmp   ,Boy gives vaLentine to woman,PO,give,NL,0
1,1,target,PO,L,L_PO_15,NL15.bmp   ,NL,Boy giving bottLe to girL,NL15.bmp   ,Boy giving bottLe to girL,PO,give,NL,0
